Name,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating
Jamaal Lascelles,Newcastle,Center Back,26,2019/20,77.0,Knee injury,"Nov 9, 2019","Jan 13, 2020",draw,Wolves,0,7.4,win,West Ham,1,6.1,win,Bournemouth,1,5.8,lose,Aston Villa,-2,draw,Man City,0,win,Sheffield,2,win,Chelsea,1,7.1,draw,Everton,0,6.2,draw,Norwich City,0,6.7
Fabian Schär,Newcastle,Center Back,28,2019/20,79.0,Knee injury,"Oct 20, 2019","Nov 24, 2019",lose,Leicester,-5,5.8,win,Man United,1,7.5,lose,Chelsea,-1,6.1,draw,Wolves,0,win,West Ham,1,win,Bournemouth,1,,,,,,,,,,,,
Fabian Schär,Newcastle,Center Back,28,2019/20,79.0,Hamstring strain,"Jan 2, 2020","Jan 17, 2020",lose,Man United,-3,4.9,lose,Everton,-1,7.7,lose,Leicester,-3,5.6,draw,Wolves,0,,,,,,,draw,Everton,0,6.0,lose,Arsenal,-4,,lose,Crystal Palace,-1,6.5
Fabian Schär,Newcastle,Center Back,28,2019/20,79.0,Shoulder injury,"Jul 16, 2020","Sep 28, 2020",lose,Man City,-5,5.2,lose,Watford,-1,6.3,lose,Tottenham,-2,6.3,draw,Brighton,0,lose,Liverpool,-2,,,,,,,,,,,,,,,
Paul Dummett,Newcastle,Center Back,28,2019/20,75.0,Groin injury,"Dec 22, 2019","Jan 10, 2020",win,Southampton,2,5.8,lose,Burnley,-1,6.0,win,Crystal Palace,1,6.2,lose,Man United,-3,lose,Everton,-1,lose,Leicester,-3,,,,,,,,,,,,
Ciaran Clark,Newcastle,Center Back,30,2019/20,75.0,Calf injury,"Dec 9, 2019","Jan 10, 2020",draw,Man City,0,6.0,win,Sheffield,2,6.4,win,Southampton,1,6.4,lose,Burnley,-1,win,Crystal Palace,1,lose,Man United,-3,draw,Wolves,0,6.5,win,Chelsea,1,6.9,draw,Everton,0,6.3
Ciaran Clark,Newcastle,Center Back,30,2019/20,75.0,Ankle injury,"Feb 16, 2020","Sep 14, 2020",draw,Everton,0,6.3,draw,Norwich City,0,7.0,lose,Arsenal,-4,5.6,lose,Crystal Palace,-1,draw,Burnley,0,win,Southampton,1,,,,,,,,,,,,
Jetro Willems,Newcastle,Left Back,26,2019/20,77.0,Knee injury,"Sep 22, 2019","Oct 5, 2019",draw,Watford,0,6.7,lose,Liverpool,-2,6.5,draw,Brighton,0,6.3,lose,Leicester,-5,,,,,,,win,Man United,1,7.7,lose,Chelsea,-1,6.2,draw,Wolves,0,6.5
Jetro Willems,Newcastle,Left Back,26,2019/20,77.0,Knee injury,"Dec 15, 2019","Dec 25, 2019",win,Sheffield,2,6.0,win,Southampton,-1,5.8,lose,Burnley,-1,6.2,win,Crystal Palace,1,,,,,,,lose,Man United,-3,6.0,lose,Everton,-1,6.8,lose,Leicester,-3,5.8
Jetro Willems,Newcastle,Left Back,26,2019/20,77.0,Cruciate ligament tear,"Jan 18, 2020","Sep 20, 2020",lose,Leicester,-3,5.8,draw,Wolves,0,6.3,win,Chelsea,1,6.1,draw,Everton,0,draw,Norwich City,0,lose,Arsenal,-4,,,,,,,,,,,,
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,74.0,Groin problems,"Apr 28, 2019","Sep 28, 2019",,,,,,,,,,,,,draw,Watford,0,lose,Liverpool,-2,draw,Brighton,0,lose,Leicester,-5,5.9,win,Man United,1,6.7,lose,Chelsea,-1,6.2
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,74.0,Hip injury,"Nov 27, 2019","Dec 10, 2019",win,West Ham,1,5.6,win,Bournemouth,1,7.3,lose,Aston Villa,-2,5.6,draw,Man City,0,win,Sheffield,2,win,Southampton,1,,,,,lose,Man United,-3,5.7,lose,Everton,-1,5.9
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,74.0,Hand injury,"Jan 5, 2020","Jan 23, 2020",lose,Man United,-3,5.9,lose,Everton,-1,5.7,lose,Leicester,-3,5.7,draw,Wolves,0,win,Chelsea,1,draw,Everton,0,,,,,,,,,,,,
Emil Krafth,Newcastle,Right Back,25,2019/20,75.0,Ankle injury,"Jan 21, 2020","Jun 20, 2020",win,Chelsea,1,6.6,draw,Everton,0,5.7,,,,,draw,Norwich City,0,lose,Arsenal,-4,lose,Crystal Palace,-1,win,Bournemouth,3,6.2,draw,West Ham,0,6.3,,,,
Emil Krafth,Newcastle,Right Back,25,2019/20,75.0,Ankle injury,"Jul 21, 2020","Sep 11, 2020",lose,Watford,-1,6.0,lose,Tottenham,-2,6.1,draw,Brighton,0,6.6,lose,Liverpool,-2,,,,,,,,,,,,,,,,,,
Javier Manquillo,Newcastle,Right Back,26,2019/20,75.0,Hamstring strain,"Jan 2, 2020","Feb 28, 2020",lose,Man United,-3,6.1,lose,Leicester,-3,5.2,,,,,draw,Wolves,0,win,Chelsea,1,draw,Everton,0,draw,Burnley,0,6.1,win,Southampton,1,6.4,win,Sheffield,3,6.8
Isaac Hayden,Newcastle,Defensive Midfielder,25,2019/20,78.0,Hamstring strain,"Jul 5, 2020","Jul 25, 2020",draw,Aston Villa,0,6.3,win,Bournemouth,3,6.1,draw,West Ham,0,5.9,lose,Man City,-5,lose,Watford,-1,lose,Tottenham,-2,,,,,,,,,,,,
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,74.0,Ankle injury,"Sep 1, 2019","Sep 28, 2019",lose,Norwich City,-2,6.5,win,Tottenham,1,6.0,draw,Watford,0,7.1,draw,Brighton,0,,,,,,,lose,Leicester,-5,5.9,win,Man United,1,7.3,lose,Chelsea,-1,6.2
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,74.0,Hamstring injury,"Jul 1, 2020","Jul 25, 2020",win,Southampton,1,6.0,win,Bournemouth,3,7.0,,,,,draw,West Ham,0,lose,Man City,-5,lose,Watford,-1,,,,,,,,,,,,
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79.0,Hamstring injury,"Sep 22, 2019","Oct 5, 2019",lose,Liverpool,-2,5.9,draw,Brighton,0,6.6,,,,,lose,Leicester,-5,,,,,,,draw,Wolves,0,7.3,win,West Ham,1,8.0,,,,
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79.0,Calf injury,"Dec 9, 2019","Dec 20, 2019",draw,Man City,0,7.5,win,Sheffield,2,7.6,win,Southampton,1,7.4,lose,Burnley,-1,,,,,,,win,Crystal Palace,1,6.6,lose,Everton,-1,6.0,lose,Leicester,-3,6.0
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79.0,Hamstring strain,"Jan 18, 2020","Feb 28, 2020",lose,Leicester,-3,6.0,win,Chelsea,1,6.9,,,,,draw,Norwich City,0,lose,Arsenal,-4,lose,Crystal Palace,-1,draw,Burnley,0,6.4,win,Southampton,1,7.6,win,Sheffield,3,6.3
Matt Ritchie,Newcastle,Right Midfielder,30,2019/20,76.0,Ankle injury,"Aug 28, 2019","Jan 3, 2020",lose,Arsenal,1,6.0,lose,Norwich City,-2,7.0,win,Tottenham,1,6.9,draw,Watford,0,lose,Liverpool,-2,draw,Brighton,0,win,Chelsea,1,6.4,draw,Everton,0,6.0,draw,Norwich City,0,7.4
Allan Saint-Maximin,Newcastle,Left winger,23,2019/20,79.0,Hamstring strain,"Sep 22, 2019","Sep 28, 2019",lose,Arsenal,-1,6.5,,,,,,,,,lose,Norwich City,-2,draw,Watford,0,lose,Liverpool,-2,draw,Brighton,0,6.6,win,Man United,1,5.8,lose,Chelsea,-1,5.9
Miguel Almirón,Newcastle,Right winger,26,2019/20,76.0,Hamstring injury,"Dec 9, 2019","Dec 20, 2019",draw,Man City,0,6.8,win,Sheffield,2,6.1,win,Southampton,1,6.2,lose,Burnley,-1,,,,,,,win,Crystal Palace,1,8.6,lose,Man United,-3,5.9,lose,Everton,-1,5.7
Dwight Gayle,Newcastle,Center Forward,30,2019/20,75.0,Calf injury,"Aug 8, 2019","Oct 5, 2019",,,,,,,,,,,,,lose,Arsenal,-1,lose,Norwich City,-2,win,Tottenham,1,,,,,,,,,,,,
Dwight Gayle,Newcastle,Center Forward,30,2019/20,75.0,Hamstring strain,"Jan 2, 2020","Jan 10, 2020",lose,Man United,-3,5.8,lose,Everton,-1,5.7,draw,Wolves,0,6.3,win,Chelsea,1,draw,Everton,0,draw,Norwich City,0,lose,Crystal Palace,-1,5.5,draw,Burnley,0,5.6,win,Southampton,1,5.9
Andy Carroll,Newcastle,Center Forward,31,2019/20,74.0,Groin injury,"Oct 20, 2019","Nov 1, 2019",lose,Leicester,-5,6.0,win,Man United,1,5.7,lose,Chelsea,-1,5.7,draw,Wolves,0,,,,,,,,,,,,,,,lose,Aston Villa,-2,6.3
Andy Carroll,Newcastle,Center Forward,31,2019/20,74.0,Bruised ribs,"Nov 26, 2019","Dec 3, 2019",,,,,,,,,lose,Aston Villa,-2,6.3,draw,Man City,0,,,,,,,win,Sheffield,2,6.8,win,Southampton,1,6.7,lose,Burnley,-1,5.8
Andy Carroll,Newcastle,Center Forward,31,2019/20,74.0,Knock,"Jan 15, 2020","Jun 15, 2020",,,,,,,,,draw,Wolves,0,5.0,win,Chelsea,1,draw,Everton,0,draw,Norwich City,0,win,Sheffield,3,5.0,draw,Aston Villa,0,6.4,win,Bournemouth,3,6.4
Andy Carroll,Newcastle,Center Forward,31,2019/20,74.0,Muscle injury,"Jul 6, 2020","Jul 17, 2020",draw,Aston Villa,0,6.4,win,Bournemouth,3,6.4,,,,,lose,Man City,-5,lose,Watford,-1,lose,Tottenham,-2,draw,Brighton,0,5.7,lose,Liverpool,-2,5.1,,,,
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77.0,Hip injury,"Sep 28, 2020","Oct 16, 2020",win,West Ham,2,6.6,lose,Brighton,-3,5.6,draw,Tottenham,0,6.3,win,Burnley,2,,,,,,,lose,Man United,3,5.3,draw,Wolves,0,6.4,win,Everton,1,6.4
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77.0,Muscle fatigue,"Nov 22, 2020","Jan 17, 2021",win,Everton,1,6.4,lose,Southampton,-2,6.1,lose,Chelsea,-2,6.3,win,Crystal Palace,2,win,West Brom,1,lose,Leeds,-3,lose,Arsenal,-3,5.6,lose,Aston Villa,-2,5.6,lose,Leeds,-1,6.1
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77.0,Hamstring strain,"Jan 31, 2021","Feb 14, 2021",lose,Aston Villa,-2,5.6,lose,Leeds,-1,6.1,win,Everton,2,6.2,lose,Crystal Palace,-1,win,Southampton,1,,,,lose,Chelsea,-2,7.1,lose,Man United,-2,5.3,draw,Wolves,0,7.6
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77.0,Foot injury,"Apr 4, 2021","Jun 1, 2021",draw,Aston Villa,0,7.4,lose,Brighton,-3,5.8,draw,Tottenham,-3,5.9,win,Burnley,1,win,West Ham,1,draw,Liverpool,0,,,,,,,,,,,,
Fabian Schär,Newcastle,Center Back,29,2020/21,79.0,Virus,"Nov 29, 2020","Dec 25, 2020",lose,Southampton,-2,6.1,lose,Chelsea,-2,5.8,,,,,win,West Brom,1,lose,Leeds,-3,draw,Fulham,0,lose,Man City,-2,6.6,draw,Liverpool,0,7.6,lose,Leicester,-1,6.2
Fabian Schär,Newcastle,Center Back,29,2020/21,79.0,Knee injury,"Feb 7, 2021","Apr 25, 2021",win,Everton,2,7.0,lose,Crystal Palace,-1,6.5,win,Southampton,1,5.4,lose,Chelsea,-2,lose,Man United,-2,draw,Wolves,0,,,,,,,,,,,,
Ciaran Clark,Newcastle,Center Back,31,2020/21,76.0,Calf injury,"Jan 19, 2021","Jan 29, 2021",lose,Leicester,-1,6.4,lose,Sheffield,-1,6.6,lose,Arsenal,-3,5.4,lose,Aston Villa,-2,lose,Leeds,-1,,,,win,Everton,2,6.2,lose,Crystal Palace,-1,6.5,,,,
Ciaran Clark,Newcastle,Center Back,31,2020/21,76.0,Knock,"Feb 4, 2021","Feb 14, 2021",win,Everton,2,6.2,lose,Crystal Palace,-1,6.5,,,,,win,Southampton,1,,,,,,,lose,Chelsea,-2,6.1,lose,Man United,-2,6.0,draw,Wolves,0,6.3
Javier Manquillo,Newcastle,Right Back,27,2020/21,75.0,Ankle injury,"Feb 7, 2021","Mar 10, 2021",win,Everton,2,6.5,lose,Crystal Palace,-1,6.2,win,Southampton,1,6.1,lose,Chelsea,-2,lose,Man United,-2,draw,Wolves,0,,,,,lose,Brighton,-3,6.2,,,,
Isaac Hayden,Newcastle,Defensive Midfielder,26,2020/21,78.0,Coronavirus,"Nov 25, 2020","Dec 11, 2020",,,,,lose,Chelsea,-2,6.3,,,,,win,Crystal Palace,2,,,,,,,win,West Brom,1,6.9,lose,Leeds,-3,5.9,draw,Fulham,0,7.2
Isaac Hayden,Newcastle,Defensive Midfielder,26,2020/21,87.0,Knee injury,"Mar 20, 2021","Jun 1, 2021",draw,West Brom,0,6.7,draw,Aston Villa,0,6.9,lose,Brighton,-3,6.2,draw,Tottenham,0,win,Burnley,2,win,West Ham,1,,,,,,,,,,,,
Jonjo Shelvey,Newcastle,Central Midfielder,29,2020/21,78.0,Groin injury,"Oct 19, 2020","Nov 20, 2020",draw,Tottenham,0,5.9,win,Burnley,2,7.1,lose,Man United,-3,6.7,draw,Wolves,0,win,Everton,1,lose,Southampton,-2,win,Crystal Palace,2,6.5,win,West Brom,1,6.6,draw,Fulham,0,6.7
Jonjo Shelvey,Newcastle,Central Midfielder,29,2020/21,78.0,Hamstring injury,"Jan 4, 2021","Jan 17, 2021",lose,Leicester,-1,5.8,,,,,,,,,lose,Sheffield,-1,,,,,,,lose,Arsenal,-3,6.2,lose,Aston Villa,-2,6.2,lose,Leeds,-1,6.6
Matt Ritchie,Newcastle,Right Midfielder,31,2020/21,76.0,Shoulder injury,"Sep 27, 2020","Nov 25, 2020",draw,Tottenham,0,6.0,,,,,,,,,win,Burnley,2,lose,Man United,-3,draw,Wolves,1,win,Crystal Palace,2,6.6,win,West Brom,1,6.1,draw,Fulham,0,5.0
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,79.0,Ankle injury,"Sep 21, 2020","Oct 1, 2020",win,West Ham,2,6.7,lose,Brighton,-3,5.3,,,,,draw,Tottenham,0,,,,,,,win,Burnley,2,8.3,lose,Man United,-3,7.3,draw,Wolves,0,6.5
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,79.0,Calf injury,"Nov 22, 2020","Jan 22, 2021",win,Everton,1,6.2,lose,Southampton,-2,6.1,lose,Chelsea,-2,5.9,win,Crystal Palace,2,win,West Brom,1,lose,Leeds,-3,lose,Aston Villa,-2,5.7,lose,Leeds,-1,6.1,win,Everton,2,5.4
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,79.0,Groin injury,"Feb 28, 2021","Apr 4, 2021",lose,Chelsea,-2,6.1,lose,Man United,-2,7.4,draw,Wolves,0,7.0,draw,West Brom,0,draw,Aston Villa,0,lose,Brighton,-3,draw,Tottenham,0,5.5,win,Burnley,1,7.8,win,West Ham,1,6.3
Miguel Almirón,Newcastle,Right winger,27,2020/21,76.0,Knee injury,"Feb 28, 2021","Mar 15, 2021",lose,Chelsea,-2,6.1,lose,Man United,-2,5.7,draw,Wolves,0,6.2,draw,West Brom,0,draw,Aston Villa,0,,,,lose,Brighton,-3,5.6,draw,Tottenham,0,6.5,win,Burnley,1,6.3
Dwight Gayle,Newcastle,Center Forward,31,2020/21,75.0,Inner ligament injury,"Sep 5, 2020","Dec 11, 2020",,,,,,,,,,,,,win,West Ham,2,lose,Brighton,-3,draw,Tottenham,0,win,West Brom,1,7.8,lose,Leeds,-3,6.0,draw,Fulham,0,6.5
Jamal Lewis,Newcastle,Left Back,23,2020/21,75.0,Knee problems,"Dec 31, 2020","Jan 15, 2021",,,,,lose,Man City,-2,5.9,,,,,lose,Leicester,-1,lose,Sheffield,-1,,,,lose,Arsenal,-3,5.6,lose,Aston Villa,-2,5.1,lose,Leeds,-1,6.3
Ryan Fraser,Newcastle,Left winger,27,2020/21,77.0,Hamstring injury,"Nov 2, 2020","Dec 15, 2020",lose,Man United,-3,5.1,draw,Wolves,0,5.7,win,Everton,1,5.7,lose,Southampton,-2,lose,Chelsea,-2,win,Crystal Palace,2,lose,Leeds,-3,7.1,draw,Fulham,0,6.0,,,,
Ryan Fraser,Newcastle,Left winger,27,2020/21,77.0,Groin injury,"Apr 1, 2021","May 31, 2021",draw,West Brom,0,5.8,draw,Aston Villa,0,6.4,lose,Brighton,-3,6.1,draw,Tottenham,0,win,Burnley,1,win,West Ham,1,,,,,,,,,,,,
Callum Wilson,Newcastle,Center Forward,29,2020/21,79.0,Hamstring strain,"Nov 7, 2020","Nov 26, 2020",draw,Wolves,0,5.7,win,Everton,1,7.8,lose,Southampton,-2,5.2,lose,Chelsea,-2,,,,,,,win,Crystal Palace,2,7.2,win,West Brom,1,5.7,lose,Leeds,-3,6.9
Callum Wilson,Newcastle,Center Forward,29,2020/21,79.0,Hamstring injury,"Feb 7, 2021","Apr 4, 2021",win,Everton,2,8.5,lose,Crystal Palace,-1,6.9,win,Southampton,1,6.1,lose,Chelsea,-2,lose,Man United,-2,draw,Wolves,0,win,Burnley,1,5.2,win,West Ham,1,6.2,draw,Liverpool,0,5.7
Callum Wilson,Newcastle,Center Forward,29,2020/21,79.0,Hamstring injury,"May 8, 2021","May 25, 2021",draw,Liverpool,0,5.7,lose,Arsenal,-2,5.5,win,Leicester,2,8.1,lose,Man City,-1,win,Sheffield,1,win,Fulham,2,,,,,,,,,,,,
Jamaal Lascelles,Newcastle,Center Back,28,2021/22,77.0,Ill,"Feb 11, 2022","Feb 16, 2022",draw,Watford,0,7.0,win,Leeds,1,7.0,win,Everton,2,6.6,win,Aston Villa,1,,,,,,,,,,,,,,,,,,
Paul Dummett,Newcastle,Center Back,30,2021/22,75.0,Calf injury,"Jul 28, 2021","Jan 1, 2022",,,,,,,,,,,,,lose,Liverpool,-2,lose,Man City,-4,draw,Man United,0,draw,Watford,0,7.0,win,Leeds,1,6.0,,,,
Joelinton,Newcastle,Central Midfielder,25,2021/22,79.0,Knock,"Mar 7, 2022","Mar 15, 2022",draw,West Ham,0,6.4,win,Brentford,2,7.7,win,Brighton,1,6.6,win,Southampton,1,lose,Chelsea,-1,,,,lose,Everton,-1,6.2,lose,Tottenham,-4,5.5,win,Wolves,1,6.6
Jonjo Shelvey,Newcastle,Central Midfielder,30,2021/22,77.0,Calf injury,"Aug 15, 2021","Oct 15, 2021",lose,West Ham,-2,7.0,,,,,,,,,lose,Aston Villa,-2,draw,Southampton,0,lose,Man United,-3,,,,,,,,,draw,Brighton,0,6.0
Jonjo Shelvey,Newcastle,Central Midfielder,30,2021/22,77.0,Muscle injury,"Dec 17, 2021","Dec 26, 2021",win,Burnley,1,7.0,lose,Leicester,-4,6.0,lose,Liverpool,-2,7.0,lose,Man City,-4,,,,,,,draw,Man United,0,7.0,draw,Watford,0,7.0,win,Leeds,1,9.0
Jonjo Shelvey,Newcastle,Central Midfielder,30,2021/22,77.0,Calf problems,"May 1, 2022","May 25, 2022",win,Leicester,1,7.0,win,Crystal Palace,1,6.0,lose,Liverpool,1,6.0,lose,Man City,-5,win,Arsenal,2,win,Burnley,1,,,,,,,,,,,,
