Name,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating,Player_Avg_Rating_Before_Injury,Player_Avg_Rating_After_Injury,Avg_GD_Before_Injury,Avg_GD_Missed_Matches,Team_Performance_Drop_Index
Jamaal Lascelles,Newcastle,Center Back,26,2019/20,77.0,Knee injury,"Nov 9, 2019","Jan 13, 2020",draw,Wolves,0.0,7.4,win,West Ham,1.0,6.1,win,Bournemouth,1.0,5.8,lose,Aston Villa,-2.0,draw,Man City,0.0,win,Sheffield,2.0,win,Chelsea,1.0,7.1,draw,Everton,0.0,6.2,draw,Norwich City,0.0,6.7,6.433333333333334,6.666666666666667,0.6666666666666666,0.0,0.6666666666666666
Fabian Schär,Newcastle,Center Back,28,2019/20,79.0,Knee injury,"Oct 20, 2019","Nov 24, 2019",lose,Leicester,-5.0,5.8,win,Man United,1.0,7.5,lose,Chelsea,-1.0,6.1,draw,Wolves,0.0,win,West Ham,1.0,win,Bournemouth,1.0,Missing,,,,Missing,,,,Missing,,,,6.466666666666666,,-1.6666666666666667,0.6666666666666666,-2.3333333333333335
Fabian Schär,Newcastle,Center Back,28,2019/20,79.0,Hamstring strain,"Jan 2, 2020","Jan 17, 2020",lose,Man United,-3.0,4.9,lose,Everton,-1.0,7.7,lose,Leicester,-3.0,5.6,draw,Wolves,0.0,Missing,,,Missing,,,draw,Everton,0.0,6.0,lose,Arsenal,-4.0,,lose,Crystal Palace,-1.0,6.5,6.066666666666667,6.25,-2.3333333333333335,0.0,-2.3333333333333335
Fabian Schär,Newcastle,Center Back,28,2019/20,79.0,Shoulder injury,"Jul 16, 2020","Sep 28, 2020",lose,Man City,-5.0,5.2,lose,Watford,-1.0,6.3,lose,Tottenham,-2.0,6.3,draw,Brighton,0.0,lose,Liverpool,-2.0,Missing,,,Missing,,,,Missing,,,,Missing,,,,5.933333333333334,,-2.6666666666666665,-1.0,-1.6666666666666665
Paul Dummett,Newcastle,Center Back,28,2019/20,75.0,Groin injury,"Dec 22, 2019","Jan 10, 2020",win,Southampton,2.0,5.8,lose,Burnley,-1.0,6.0,win,Crystal Palace,1.0,6.2,lose,Man United,-3.0,lose,Everton,-1.0,lose,Leicester,-3.0,Missing,,,,Missing,,,,Missing,,,,6.0,,0.6666666666666666,-2.3333333333333335,3.0
Ciaran Clark,Newcastle,Center Back,30,2019/20,75.0,Calf injury,"Dec 9, 2019","Jan 10, 2020",draw,Man City,0.0,6.0,win,Sheffield,2.0,6.4,win,Southampton,1.0,6.4,lose,Burnley,-1.0,win,Crystal Palace,1.0,lose,Man United,-3.0,draw,Wolves,0.0,6.5,win,Chelsea,1.0,6.9,draw,Everton,0.0,6.3,6.266666666666667,6.566666666666666,1.0,-1.0,2.0
Ciaran Clark,Newcastle,Center Back,30,2019/20,75.0,Ankle injury,"Feb 16, 2020","Sep 14, 2020",draw,Everton,0.0,6.3,draw,Norwich City,0.0,7.0,lose,Arsenal,-4.0,5.6,lose,Crystal Palace,-1.0,draw,Burnley,0.0,win,Southampton,1.0,Missing,,,,Missing,,,,Missing,,,,6.3,,-1.3333333333333333,0.0,-1.3333333333333333
Jetro Willems,Newcastle,Left Back,26,2019/20,77.0,Knee injury,"Sep 22, 2019","Oct 5, 2019",draw,Watford,0.0,6.7,lose,Liverpool,-2.0,6.5,draw,Brighton,0.0,6.3,lose,Leicester,-5.0,Missing,,,Missing,,,win,Man United,1.0,7.7,lose,Chelsea,-1.0,6.2,draw,Wolves,0.0,6.5,6.5,6.8,-0.6666666666666666,-5.0,4.333333333333333
Jetro Willems,Newcastle,Left Back,26,2019/20,77.0,Knee injury,"Dec 15, 2019","Dec 25, 2019",win,Sheffield,2.0,6.0,win,Southampton,-1.0,5.8,lose,Burnley,-1.0,6.2,win,Crystal Palace,1.0,Missing,,,Missing,,,lose,Man United,-3.0,6.0,lose,Everton,-1.0,6.8,lose,Leicester,-3.0,5.8,6.0,6.2,0.0,1.0,-1.0
Jetro Willems,Newcastle,Left Back,26,2019/20,77.0,Cruciate ligament tear,"Jan 18, 2020","Sep 20, 2020",lose,Leicester,-3.0,5.8,draw,Wolves,0.0,6.3,win,Chelsea,1.0,6.1,draw,Everton,0.0,draw,Norwich City,0.0,lose,Arsenal,-4.0,Missing,,,,Missing,,,,Missing,,,,6.066666666666666,,-0.6666666666666666,-1.3333333333333333,0.6666666666666666
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,74.0,Groin problems,"Apr 28, 2019","Sep 28, 2019",Missing,,,,Missing,,,,Missing,,,,draw,Watford,0.0,lose,Liverpool,-2.0,draw,Brighton,0.0,lose,Leicester,-5.0,5.9,win,Man United,1.0,6.7,lose,Chelsea,-1.0,6.2,,6.266666666666667,,-0.6666666666666666,
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,74.0,Hip injury,"Nov 27, 2019","Dec 10, 2019",win,West Ham,1.0,5.6,win,Bournemouth,1.0,7.3,lose,Aston Villa,-2.0,5.6,draw,Man City,0.0,win,Sheffield,2.0,win,Southampton,1.0,Missing,,,,lose,Man United,-3.0,5.7,lose,Everton,-1.0,5.9,6.166666666666667,5.800000000000001,0.0,1.0,-1.0
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,74.0,Hand injury,"Jan 5, 2020","Jan 23, 2020",lose,Man United,-3.0,5.9,lose,Everton,-1.0,5.7,lose,Leicester,-3.0,5.7,draw,Wolves,0.0,win,Chelsea,1.0,draw,Everton,0.0,Missing,,,,Missing,,,,Missing,,,,5.766666666666667,,-2.3333333333333335,0.3333333333333333,-2.666666666666667
Emil Krafth,Newcastle,Right Back,25,2019/20,75.0,Ankle injury,"Jan 21, 2020","Jun 20, 2020",win,Chelsea,1.0,6.6,draw,Everton,0.0,5.7,Missing,,,,draw,Norwich City,0.0,lose,Arsenal,-4.0,lose,Crystal Palace,-1.0,win,Bournemouth,3.0,6.2,draw,West Ham,0.0,6.3,Missing,,,,6.15,6.25,0.5,-1.6666666666666667,2.166666666666667
Emil Krafth,Newcastle,Right Back,25,2019/20,75.0,Ankle injury,"Jul 21, 2020","Sep 11, 2020",lose,Watford,-1.0,6.0,lose,Tottenham,-2.0,6.1,draw,Brighton,0.0,6.6,lose,Liverpool,-2.0,Missing,,,Missing,,,Missing,,,,Missing,,,,Missing,,,,6.233333333333333,,-1.0,-2.0,1.0
Javier Manquillo,Newcastle,Right Back,26,2019/20,75.0,Hamstring strain,"Jan 2, 2020","Feb 28, 2020",lose,Man United,-3.0,6.1,lose,Leicester,-3.0,5.2,Missing,,,,draw,Wolves,0.0,win,Chelsea,1.0,draw,Everton,0.0,draw,Burnley,0.0,6.1,win,Southampton,1.0,6.4,win,Sheffield,3.0,6.8,5.65,6.433333333333334,-3.0,0.3333333333333333,-3.3333333333333335
Isaac Hayden,Newcastle,Defensive Midfielder,25,2019/20,78.0,Hamstring strain,"Jul 5, 2020","Jul 25, 2020",draw,Aston Villa,0.0,6.3,win,Bournemouth,3.0,6.1,draw,West Ham,0.0,5.9,lose,Man City,-5.0,lose,Watford,-1.0,lose,Tottenham,-2.0,Missing,,,,Missing,,,,Missing,,,,6.099999999999999,,1.0,-2.6666666666666665,3.6666666666666665
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,74.0,Ankle injury,"Sep 1, 2019","Sep 28, 2019",lose,Norwich City,-2.0,6.5,win,Tottenham,1.0,6.0,draw,Watford,0.0,7.1,draw,Brighton,0.0,Missing,,,Missing,,,lose,Leicester,-5.0,5.9,win,Man United,1.0,7.3,lose,Chelsea,-1.0,6.2,6.533333333333334,6.466666666666666,-0.3333333333333333,0.0,-0.3333333333333333
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,74.0,Hamstring injury,"Jul 1, 2020","Jul 25, 2020",win,Southampton,1.0,6.0,win,Bournemouth,3.0,7.0,Missing,,,,draw,West Ham,0.0,lose,Man City,-5.0,lose,Watford,-1.0,Missing,,,,Missing,,,,Missing,,,,6.5,,2.0,-2.0,4.0
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79.0,Hamstring injury,"Sep 22, 2019","Oct 5, 2019",lose,Liverpool,-2.0,5.9,draw,Brighton,0.0,6.6,Missing,,,,lose,Leicester,-5.0,Missing,,,Missing,,,draw,Wolves,0.0,7.3,win,West Ham,1.0,8.0,Missing,,,,6.25,7.65,-1.0,-5.0,4.0
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79.0,Calf injury,"Dec 9, 2019","Dec 20, 2019",draw,Man City,0.0,7.5,win,Sheffield,2.0,7.6,win,Southampton,1.0,7.4,lose,Burnley,-1.0,Missing,,,Missing,,,win,Crystal Palace,1.0,6.6,lose,Everton,-1.0,6.0,lose,Leicester,-3.0,6.0,7.5,6.2,1.0,-1.0,2.0
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79.0,Hamstring strain,"Jan 18, 2020","Feb 28, 2020",lose,Leicester,-3.0,6.0,win,Chelsea,1.0,6.9,Missing,,,,draw,Norwich City,0.0,lose,Arsenal,-4.0,lose,Crystal Palace,-1.0,draw,Burnley,0.0,6.4,win,Southampton,1.0,7.6,win,Sheffield,3.0,6.3,6.45,6.766666666666667,-1.0,-1.6666666666666667,0.6666666666666667
Matt Ritchie,Newcastle,Right Midfielder,30,2019/20,76.0,Ankle injury,"Aug 28, 2019","Jan 3, 2020",lose,Arsenal,1.0,6.0,lose,Norwich City,-2.0,7.0,win,Tottenham,1.0,6.9,draw,Watford,0.0,lose,Liverpool,-2.0,draw,Brighton,0.0,win,Chelsea,1.0,6.4,draw,Everton,0.0,6.0,draw,Norwich City,0.0,7.4,6.633333333333333,6.6000000000000005,0.0,-0.6666666666666666,0.6666666666666666
Allan Saint-Maximin,Newcastle,Left winger,23,2019/20,79.0,Hamstring strain,"Sep 22, 2019","Sep 28, 2019",lose,Arsenal,-1.0,6.5,Missing,,,,Missing,,,,lose,Norwich City,-2.0,draw,Watford,0.0,lose,Liverpool,-2.0,draw,Brighton,0.0,6.6,win,Man United,1.0,5.8,lose,Chelsea,-1.0,5.9,6.5,6.099999999999999,-1.0,-1.3333333333333333,0.33333333333333326
Miguel Almirón,Newcastle,Right winger,26,2019/20,76.0,Hamstring injury,"Dec 9, 2019","Dec 20, 2019",draw,Man City,0.0,6.8,win,Sheffield,2.0,6.1,win,Southampton,1.0,6.2,lose,Burnley,-1.0,Missing,,,Missing,,,win,Crystal Palace,1.0,8.6,lose,Man United,-3.0,5.9,lose,Everton,-1.0,5.7,6.366666666666666,6.733333333333333,1.0,-1.0,2.0
Dwight Gayle,Newcastle,Center Forward,30,2019/20,75.0,Calf injury,"Aug 8, 2019","Oct 5, 2019",Missing,,,,Missing,,,,Missing,,,,lose,Arsenal,-1.0,lose,Norwich City,-2.0,win,Tottenham,1.0,Missing,,,,Missing,,,,Missing,,,,,,,-0.6666666666666666,
Dwight Gayle,Newcastle,Center Forward,30,2019/20,75.0,Hamstring strain,"Jan 2, 2020","Jan 10, 2020",lose,Man United,-3.0,5.8,lose,Everton,-1.0,5.7,draw,Wolves,0.0,6.3,win,Chelsea,1.0,draw,Everton,0.0,draw,Norwich City,0.0,lose,Crystal Palace,-1.0,5.5,draw,Burnley,0.0,5.6,win,Southampton,1.0,5.9,5.933333333333334,5.666666666666667,-1.3333333333333333,0.3333333333333333,-1.6666666666666665
Andy Carroll,Newcastle,Center Forward,31,2019/20,74.0,Groin injury,"Oct 20, 2019","Nov 1, 2019",lose,Leicester,-5.0,6.0,win,Man United,1.0,5.7,lose,Chelsea,-1.0,5.7,draw,Wolves,0.0,Missing,,,Missing,,,Missing,,,,Missing,,,,lose,Aston Villa,-2.0,6.3,5.8,6.3,-1.6666666666666667,0.0,-1.6666666666666667
Andy Carroll,Newcastle,Center Forward,31,2019/20,74.0,Bruised ribs,"Nov 26, 2019","Dec 3, 2019",Missing,,,,Missing,,,,lose,Aston Villa,-2.0,6.3,draw,Man City,0.0,Missing,,,Missing,,,win,Sheffield,2.0,6.8,win,Southampton,1.0,6.7,lose,Burnley,-1.0,5.8,6.3,6.433333333333334,-2.0,0.0,-2.0
Andy Carroll,Newcastle,Center Forward,31,2019/20,74.0,Knock,"Jan 15, 2020","Jun 15, 2020",Missing,,,,Missing,,,,draw,Wolves,0.0,5.0,win,Chelsea,1.0,draw,Everton,0.0,draw,Norwich City,0.0,win,Sheffield,3.0,5.0,draw,Aston Villa,0.0,6.4,win,Bournemouth,3.0,6.4,5.0,5.933333333333334,0.0,0.3333333333333333,-0.3333333333333333
